être,be
mi,mi
bénéfice,profit
hypothèse,hypothesis
navré,heartbroken
rafraîchir,refresh
réplique,reply
passionnant,exciting
monstrueux,monstrous
redresser,straighten
régulier,regular
contrôleur,controller
naïf,naive
tronche,face
flou,fuzzy
van,van
hanche,hip
manifestation,event
météo,Weather
lancement,launching
coudre,sew
plancher,floor
connecter,log on
haricot,bean
lover,coil
ras,ras
clan,clan
requête,request
excité,excited
appui,support
ressource,resource
détecteur,detector
trousse,kit
contrairement,Unlike
miséricorde,mercy
novembre,November
cliché,shot
merdeux,shit
obsession,obsession
carré,square
dévoiler,reveal
pourboire,tip
verrouiller,lock
deal,deal
faciliter,facilitate
colonie,colony
grandeur,greatness
gronder,scold
impuissant,powerless
initiative,initiative
tripe,tripe
secondaire,secondary
ardent,ardent
indigne,unworthy
structure,structure
outre,besides
anormal,abnormal
creux,hollow
faculté,faculty
ciseau,chisel
physiquement,physically
raisonner,reason
ingrat,ungrateful
naviguer,navigate
prescrire,prescribe
yankee,Yankee
boxeur,boxer
détresse,distress
égyptien,Egyptian
beignet,donut
entraîneur,coach
fourgon,van
gitan,Gypsy
souverain,sovereign
cortex,cortex
représentation,representation
imprimer,print out
intéressé,interested
miette,crumb
autographe,autograph
dissimuler,hide
dédier,dedicate
expédier,send
ballet,ballet
banal,banal
comptoir,counter
foutaise,crap
primitif,primitive
veau,veal
concept,concept
hou,boo
inférieur,lower
verdict,verdict
bousculer,hustle
artillerie,artillery
vice-président,Vice President
frisson,thrill
lard,bacon
débattre,debate
registre,register
addition,addition
portail,portal
encercler,circle
redire,repeat
odieux,odious
perdant,loser
accéder,access
coco,Coconut
monté,mounted
extraire,extract
contempler,contemplate
pousse,shoot
ultime,ultimate
décorer,decorate
décembre,December
fouet,whip
éclaircir,clear
coke,coke
concentration,concentration
recueillir,collect
réservoir,reservoir
solaire,solar
servant,serving
guetter,watch
chantage,blackmail
lessive,laundry
raciste,racist
éditeur,editor
gus,gus
politicien,politician
apaiser,appease
bouc,goat
mérite,merit
ruban,tape
terrifier,terrify
rédiger,write
cote,odds
littérature,literature
nonne,Nun
différemment,differently
paresseux,lazy
sperme,sperm
suédois,Swedish
maternel,maternal
brosse,brush
crêpe,pancake
libération,release
spectateur,spectator
tank,tank
cuit,cooked
paie,payroll
coiffer,style
assassinat,murder
rupture,break
dicter,dictate
attentivement,closely
décéder,die
décor,decor
défaite,defeat
refuge,refuge
bonnet,cap
bijou,jewel
afficher,pin up
photographie,photography
socialiste,socialist
touché,affected
bazar,bazaar
borne,terminal
minus,minus
réparation,repair
hôtesse,hostess
janvier,January
mile,mile
pressentiment,presentiment
quelques-uns,some
traînée,trail
républicain,republican
terrifiant,creepy
économique,economic
sauvetage,rescue
blanche,White
commode,convenient
meuf,girl
acquérir,acquire
gerber,gerber
coordonnée,coordinated
risqué,risky
dépêche,telegram
influencer,influence
autel,altar
abandonné,abandoned
licence,Bachelor's degree
championnat,championship
tactique,tactics
portier,porter
tremblement,tremor
cash,cash
grippe,flu
cookie,cookie
mémé,granny
escorter,escort
réviser,review
électronique,electronic
cycle,cycle
balance,balance
calmant,calming
jésus,Jesus
constamment,constantly
embrouiller,confuse
rhume,cold
restant,remaining
allergique,allergic
décoration,decoration
planifier,plan
confronter,confront
crabe,crab
répondeur,answering machine
hystérique,hysterical
fonctionnaire,official
inclure,include
invoquer,invoke
bataillon,battalion
pacte,pact
donné,given
irlandais,Irish
bulle,bubble
colle,glue
ignoble,ignoble
pyjama,pajamas
pénis,penis
griffe,claw
naze,sucks
évolution,evolution
carreau,tile
hisser,hoist
pois,polka dot
torche,torch
gène,gene
escargot,snail
funèbre,funeral
observation,observation
psychologique,psychological
sieur,Mr.
éduquer,educate
bicyclette,bicycle
cambriolage,burglary
copier,copy
défilé,parade
collectif,collective
coupé,disconnected
résidence,residence
surprenant,surprising
pétasse,bitch
centrale,power plant
février,February
tailleur,tailor
finance,finance
martial,martial
oubli,oblivion
trompette,trumpet
vapeur,steam
apparition,appearance
éternellement,eternally
définitif,final
déshonorer,dishonor
exploit,feat
haleine,breath
embrouille,confused
maudire,curse
légiste,jurist
tumeur,tumor
intégrer,integrate
malle,trunk
vicieux,vicious
croyance,belief
farine,flour
quant,about
advenir,happen
diminuer,decrease
banlieue,suburbs
remplaçant,substitute
rive,bank
abriter,house
purifier,purify
barman,bartender
braiment,braying
fosse,pit
identique,identical
distributeur,distributor
hallucination,hallucination
mâchoire,jaw
présentation,presentation
connasse,motherfucker
fracture,fracture
rouble,ruble
immortel,immortal
fureur,fury
laser,laser
philosophe,philosopher
neiger,snow
terrien,earthling
alcoolique,alcoholic
carnaval,carnival
timbre,stamp
baby-sitter,baby-sitter
canaille,blackguard
min,min
soupir,sigh
planer,plane
billard,billiards
paralyser,paralyze
prêcher,preach
terroriser,terrorize
merdique,crappy
aligner,align
voyant,seer
blues,blues
concurrent,competitor
jusque-là,hitherto
inspection,inspection
nuque,neck
protecteur,protective
corne,horn
généralement,generally
hold-up,raid
surnom,nickname
tyran,tyrant
tripoter,tamper
inoffensif,harmless
çà,here
souterrain,underground
péril,peril
crack,crack
vulnérable,vulnerable
africain,African
effraction,burglary
tordu,twisted
fendre,split
braquage,steering
clore,close
moulin,mill
trajet,path
mac,Mac
transpirer,sweat
cerner,identify
coffrer,busted
baguette,stick
buisson,bush
fontaine,fountain
enrichir,enrich
media,media
balade,ride
infâme,infamous
seize,sixteen
siens,his
drogué,drugged
crapule,scoundrel
combattant,fighter
câlin,coaxing
sentence,sentence
bip,beep
sympathie,sympathy
tango,tango
piller,loot
triompher,triumph
excès,excess
vêtir,dress
baise,fuck
quasiment,almost
peiner,pain
brosser,brush
ampoule,light bulb
néanmoins,however
festival,festival
minuscule,tiny
collant,tights
attaché,attached
baie,bay
montant,amount
bouillir,boil
aggraver,aggravate
gratitude,gratitude
barbare,barbaric
barreau,bar
démonstration,demonstration
fouetter,whip
humiliation,humiliation
saler,salt
séquence,sequence
démission,resignation
sermon,sermon
antique,antique
arbitre,referee
capote,hood
enchaîner,concatenate
gouverner,govern
impatience,impatience
niquer,fuck
round,round
établissement,establishment
caleçon,underpants
gravité,severity
poire,pear
cargaison,cargo
carotte,carrot
coté,side
quarantaine,quarantine
fardeau,burden
tentation,temptation
cerf,deer
gentillesse,kindness
préfet,prefect
revoilà,'re back
hourra,hurray
veinard,lucky
paisible,peaceful
subtil,subtle
châtiment,punishment
collaborer,collaborate
ridiculiser,ridicule
duel,duel
consommer,consume
inspecter,inspect
dodo,dodo
engendrer,generate
fourrure,fur
attribuer,award
régaler,feast
clouer,nail
forteresse,fortress
pellicule,film
consister,consist
colis,package
maquereau,mackerel
nettoyage,cleaning
poussin,chick
ruisseau,creek
temporaire,temporary
résumer,summarize
épave,wreck
débutant,beginner
x,x
girl,girl
réaliste,realistic
dope,dope
réflexion,reflection
provision,provision
arrêté,arrested
offense,offense
entamer,start
lasser,weary
recruter,recruit
embarrassant,embarrassing
attraction,attraction
compétent,competent
inévitable,inevitable
renaître,reborn
hétéro,straight
rayer,strike
aboyer,bark
chapelle,chapel
glorieux,glorious
parcours,route
touchant,touching
voire,indeed
freiner,curb
confiture,jam
bec,beak
inculper,charge
glaçon,iceberg
percevoir,levy
mépris,contempt
visa,visa
étiquette,label
figue,Fig
inspiration,inspiration
investissement,investment
jazz,jazz
parapluie,umbrella
élite,elite
boudu,Boudu
coach,trainer
morphine,morphine
satisfaction,satisfaction
incliner,tilt
mesdemoiselles,Misses
crépuscule,twilight
biologique,biological
lumineux,luminous
stresser,stress
assemblée,meeting
doré,golden
grange,barn
kit,kit
perspective,perspective
révélation,revelation
ignorant,ignorant
calibre,caliber
primaire,primary
marbre,marble
cuillère,spoon
règne,reign
vermine,vermin
mousse,foam
tourment,torment
énigme,enigma
cacahuète,peanut
pan,bang
relevé,statement
agrandir,enlarge
dessein,design
jardinier,gardener
divers,various
pacha,pasha
murmurer,murmur
suer,sweat
cygne,swan
escorte,escort
sous-estimer,underestimate
enflammer,ignite
trafiquer,tamper
bosse,bump
harper,harp
loterie,lottery
bouchon,plug
chialer,blubber
reconstruire,rebuild
locataire,tenant
mécanique,mechanical
décollage,take-off
glacer,freeze
moyenne,average
papi,papi
écureuil,squirrel
dû,due
climat,climate
ranch,ranch
définir,define
dorénavant,now
honnêteté,honesty
rancune,grudge
insolent,insolent
if,if
pétard,firecracker
break,break
pâté,blot
inscription,registration
pape,pope
chauve-souris,bat
tapette,pansy
badge,badge
blouson,jacket
chargement,loading
continent,continent
invasion,invasion
peloton,pack
dérober,steal
programmer,program
esclavage,slavery
identification,identification
infirmerie,infirmary
centime,centime
démontrer,show
artificiel,artificial
bizarrement,oddly
là-dessous,under there
sculpture,sculpture
dépense,expenditure
scolaire,school
melon,melon
éponge,sponge
improviser,improvise
étang,pond
chercheur,researcher
développement,development
maniaque,maniac
galant,gallant
déployer,deploy
minet,kitty
déduire,deduct
enthousiasme,enthusiasm
grossesse,pregnancy
relais,relay
toc,fake
formalité,formality
morveux,snotty
septième,seventh
stérile,sterile
ardeur,ardor
flirter,flirt
dirigeant,leader
cru,raw
matelot,sailor
berceau,cradle
trouvé,found
allumé,alight
applaudissement,clapping
pauvreté,poverty
sûreté,safety
déchet,waste
muter,mutate
chatouiller,tickle
module,module
roulant,rolling
tiers,third
stand,stall
brebis,sheep
puant,stinking
pyramide,pyramid
spaghetti,spaghetti
trophée,trophy
fondateur,founder
bannir,banish
agresseur,aggressor
minou,kitty
égout,sewer
contredire,contradict
choeur,choir
treize,thirteen
vendu,sold
charrette,cart
cahier,notebook
fantaisie,fantasy
sottise,stupidity
soudainement,suddenly
croyant,believer
détention,detention
égalité,equality
intimider,intimidate
mijoter,simmer
ressort,spring
impeccable,impeccable
malaise,malaise
terrestre,terrestrial
tranche,slice
contenu,contents
artifice,artifice
baseball,Baseball
impasse,impasse
pique,pike
yacht,yacht
andouille,dummy
faillite,bankruptcy
sabre,saber
visiblement,visibly
autrichien,Austrian
conduit,pipe
sauveur,savior
buffet,buffet
froc,frock
peseta,peseta
marais,marsh
aigle,eagle
amigo,amigo
emplacement,location
sapin,fir
gentilhomme,gentleman
satané,accursed
rimer,rhyme
thanksgiving,Thanksgiving
vis,screw
claque,slap
raclée,beating
taupe,taupe
écurie,stable
technicien,technician
omelette,omelette
batte,bat
infiltrer,infiltrate
vigne,vine
vouer,devote
ducon,asshole
fiable,reliable
soi-même,self
durée,duration
renier,deny
tournoi,tournament
réconforter,comfort
shooter,shoot
augmentation,increase
exterminer,exterminate
mendiant,beggar
organisme,body
précision,precision
rude,rough
saouler,drunk
traditionnel,traditional
colombe,dove
combine,combines
vitrine,showcase
injecter,inject
démonter,disassemble
cocu,deceived husband
carburant,fuel
détour,detour
centimètre,centimeter
encre,ink
hollandais,Dutch
peigne,comb
périmètre,perimeter
saumon,salmon
harmonie,harmony
claire,clear
condamnation,conviction
exaucer,fulfill
librement,free
mouchard,informer
oublié,forget it
papy,grandpa
multiple,multiple
sur-le-champ,on the spot
cambrioler,burgle
effrayé,frightened
épicerie,grocery store
diagnostic,diagnosis
entreprendre,undertake
gifler,slap
impérial,imperial
piétiner,trample on
pureté,purity
rouvrir,reopen
donneur,donor
replier,fold up
solde,balance
doucher,douche
démocrate,democrat
ex-femme,ex-wife
installation,installation
loto,lotto
revendre,sell
virage,turn
rouiller,rust
réfugier,refuge
appât,bait
black,black
calmement,calmly
plongée,diving
squelette,skeleton
émeute,riot
constitution,constitution
opérateur,operator
compartiment,compartment
foin,hay
chips,chips
hospitalité,hospitality
prostitution,prostitution
occupation,occupation
avancé,advanced
visuel,visual
martyr,martyr
irriter,irritate
négociation,negotiation
quatorze,fourteen
bossu,hunchback
avant-hier,before yesterday
sanglant,bloody
inonder,flood
mutant,mutant
traumatisme,trauma
trêve,truce
enfreindre,violate
crash,crash
routier,truck
contourner,get around
embarrasser,embarrass
enchère,bid
infernal,infernal
jument,mare
légion,legion
psychologue,psychologist
surpasser,outdo
contraindre,force
absorber,absorb
affaiblir,weaken
attentif,attentive
hyper,hyper
peignoir,peignoir
renard,fox
sonnerie,ringing
bavard,talkative
montage,mounting
révolte,revolt
biberon,baby bottle
déception,disappointment
exposé,exposed
lueur,glow
scrupule,scruple
écho,echo
fibre,fiber
frire,fry
intercepter,intercept
provisoire,provisional
ronfler,snore
celles-ci,thereof
fusiller,shoot
manie,mania
affamer,starve
kid,kid
néant,nil
pédale,pedal
toubib,doctor
râler,bitch
redoutable,formidable
réglo,legit
cavalerie,cavalry
delta,delta
indépendance,independence
injustice,injustice
réflexe,reflex
satisfait,satisfied
évènement,event
ambitieux,ambitious
caverne,cave
corruption,corruption
menton,chin
redouter,fear
acheteur,buyer
sous-vêtement,underwear
autrui,others
millionnaire,millionaire
tacher,stain
jean,jeans
vaccin,vaccine
ignorance,ignorance
infliger,inflict
consumer,consume
via,via
boxer,boxer
pansement,band Aid
crotte,dung
proclamer,proclaim
souiller,defile
admirable,admirable
aveugler,blind
nausée,nausea
fugitif,fugitive
gibier,game
e-mail,e-mail
ring,ring
sécuriser,reassure
volume,volume
brûlure,burn
souffrant,suffering
céleste,heavenly
emprisonner,jail
fiction,fiction
imaginaire,imaginary
penny,penny
recours,resort
rôti,roast
script,script
conséquent,Therefore
rizière,paddy field
grade,grade
gérant,manager
astronaute,astronaut
bombardement,bombing
habile,clever
pa,pa
palestinien,Palestinian
gravement,seriously
cirer,wax
illuminer,illuminate
suisse,Swiss
alerter,alert
commencement,beginning
célébrité,celebrity
espérance,hope
techniquement,technically
démasquer,unmask
béton,concrete
laine,wool
violeur,rapist
propager,propagate
altitude,altitude
reflet,reflection
alentour,surrounding
banquier,banker
punk,punk
arrogant,arrogant
emplir,fill
office,office
arnaquer,rip off
exquis,exquisite
gratuitement,free of charge
orgasme,orgasm
sordide,sordid
svp,Please
déchaîner,unchain
bulletin,newsletter
western,western
butin,swag
légèrement,slightly
magner,magner
étaler,display
agacer,annoy
coincé,stranded
radical,radical
féroce,fierce
maïs,corn
atomique,atomic
corvée,drudgery
ficelle,string
maltraiter,maltreat
réfugié,refugee
serbe,Serbian
lecteur,reader
relire,read back
bluffer,bluff
inciter,encourage
animer,animate
marée,tide
morsure,bite
sonde,probe
questionner,question
étincelle,spark
évacuation,evacuation
restaurer,restore
inverser,reverse
irresponsable,irresponsible
racaille,riffraff
rhum,rum
catégorie,category
arnaque,scam
mythe,myth
tarif,rate
équiper,equip
cardinal,cardinal
compromis,compromise
guise,As
pitoyable,pathetic
tueuse,Killer
saboter,sabotage
tutoyer,tutoyer
caca,pooh
cape,mantle
civilisé,civilized
hymne,anthem
ruelle,alley
alimenter,feed
gâchis,mess
rendu,made
statistique,statistical
remarier,remarry
reprise,recovery
requérir,require
animé,animated
tranchée,trench
violet,purple
croyable,believable
géomètre,geometer
dévaliser,rob
étalon,standard
sicilien,Sicilian
calendrier,calendar
qualifier,qualify
